idx,bytes,mod_file,start,type
0,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",1080,record
1,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",1146,record
2,11,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",1512,record
3,5,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",1893,record
4,5,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",1963,record
5,5,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",1982,record
6,21,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",2003,record
7,16,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",2045,record
8,35,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",3431,record
9,36,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",3475,record
10,85,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",3518,record
11,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7379,record
12,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7401,record
13,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7408,record
14,2,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7443,record
15,31,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7481,record
16,26,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7520,record
17,44,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7552,record
18,38,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7611,record
19,9,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7663,record
20,4,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7699,record
21,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7767,record
22,3,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7791,record
23,4,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7803,record
24,43,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7905,record
25,104,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",7956,record
26,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8112,record
27,14,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8121,record
28,16,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8387,record
29,87,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8424,record
30,28,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8588,record
31,94,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8641,record
32,3,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8748,record
33,16,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8762,record
34,4,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8814,record
35,10,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8826,record
36,18,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8865,record
37,52,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8889,record
38,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8948,record
39,29,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",8980,record
40,10,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9034,record
41,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9063,record
42,4,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9070,record
43,32,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9345,record
44,26,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9397,record
45,64,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9549,record
46,42,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9773,record
47,43,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9832,record
48,177,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",9888,record
49,116,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10078,record
50,87,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10209,record
51,9,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10387,record
52,22,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10405,record
53,22,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10433,record
54,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10471,record
55,14,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",10479,record
56,42,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11288,record
57,136,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11337,record
58,73,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11501,record
59,34,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11580,record
60,3,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11621,record
61,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11631,record
62,25,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11665,record
63,50,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11697,record
64,82,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11861,record
65,6,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11957,record
66,4,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",11971,record
67,3,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",13365,record
68,1,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",20779,record
69,2,"Super Mario Bros - Peach and Daisy and The Royal Games (SMB1 Hack).ips
",22344,record
