i,start,bytes
0,1080,1
0,1146,1
0,1512,11
0,1893,5
0,1963,5
0,1982,5
0,2003,21
0,2045,16
0,3431,35
0,3475,36
0,3518,85
0,7379,1
0,7401,1
0,7408,1
0,7443,2
0,7481,31
0,7520,26
0,7552,44
0,7611,38
0,7663,9
0,7699,4
0,7767,1
0,7791,3
0,7803,4
0,7905,43
0,7956,104
0,8112,1
0,8121,14
0,8387,16
0,8424,87
0,8588,28
0,8641,94
0,8748,3
0,8762,16
0,8814,4
0,8826,10
0,8865,18
0,8889,52
0,8948,1
0,8980,29
0,9034,10
0,9063,1
0,9070,4
0,9345,32
0,9397,26
0,9549,64
0,9773,42
0,9832,43
0,9888,177
0,10078,116
0,10209,87
0,10387,9
0,10405,22
0,10433,22
0,10471,1
0,10479,14
0,11288,42
0,11337,136
0,11501,73
0,11580,34
0,11621,3
0,11631,1
0,11665,25
0,11697,50
0,11861,82
0,11957,6
0,11971,4
0,13365,3
0,20779,1
0,22344,2
0,25083,2
0,27175,1
0,28207,24
0,28239,140
0,28385,23
0,32784,127
0,32928,16
0,32960,112
0,33088,80
0,33296,288
0,33600,48
0,33680,32
0,33840,32
0,33904,32
0,33968,64
0,34128,112
0,34256,80
0,34384,31
0,34469,15
0,34484,12
0,34503,11
0,34515,13
0,34529,15
0,34546,13
0,34559,18
0,34581,55
0,34672,64
0,34833,14
0,34864,15
0,35056,286
0,35346,31
0,35377,46
0,35423,17
0,35442,190
0,35857,2
0,35865,20
0,35904,65
0,35976,1
0,35992,1
0,36210,14
0,36256,16
0,36449,31
0,36545,79
0,36688,32
0,36868,19
0,36896,7
0,36912,7
0,36928,7
0,36944,7
0,36961,6
0,36976,7
0,36992,7
0,37008,7
0,37024,7
0,37040,7
0,37056,6
0,37072,6
0,37088,7
0,37104,6
0,37120,6
0,37136,7
0,37152,7
0,37168,7
0,37184,7
0,37200,7
0,37216,7
0,37232,7
0,37248,7
0,37264,7
0,37280,7
0,37296,7
0,37312,7
0,37328,6
0,37344,7
0,37360,7
0,37376,7
0,37392,7
0,37408,7
0,37425,6
0,37440,7
0,37523,1
0,37573,2
0,37648,15
0,37669,10
0,37685,35
0,37728,127
0,38098,14
0,38130,29
0,38178,94
0,38417,33
0,38457,1
0,38465,45
0,38528,64
0,38848,64
0,38928,32
0,39028,125
0,39160,1
0,39168,1
0,39176,1
0,39184,80
0,39440,32
0,39524,60
0,39616,64
0,39760,64
0,39920,32
0,39988,60
0,40117,74
0,40208,128
0,40336,133
0,40469,43
0,40512,16
0,40530,46
0,40576,16
0,40657,281
0,40938,32
1,1080,1
1,1146,1
1,1512,11
1,1893,5
1,1963,5
1,1982,5
1,2003,21
1,2045,16
1,3431,35
1,3475,36
1,3518,85
1,7379,1
1,7401,1
1,7408,1
1,7443,2
1,7481,31
1,7520,26
1,7552,44
1,7611,38
1,7663,9
1,7699,4
1,7767,1
1,7791,3
1,7803,4
1,7905,43
1,7956,104
1,8112,1
1,8121,14
1,8387,16
1,8424,87
1,8588,28
1,8641,94
1,8748,3
1,8762,16
1,8814,4
1,8826,10
1,8865,18
1,8889,52
1,8948,1
1,8980,29
1,9034,10
1,9063,1
1,9070,4
1,9345,32
1,9397,26
1,9549,64
1,9773,42
1,9832,43
1,9888,177
1,10078,116
1,10209,87
1,10387,9
1,10405,22
1,10433,22
1,10471,1
1,10479,14
1,11288,42
1,11337,136
1,11501,73
1,11580,34
1,11621,3
1,11631,1
1,11665,25
1,11697,50
1,11861,82
1,11957,6
1,11971,4
1,13365,3
1,20779,1
1,22344,2
1,25083,2
1,27175,1
1,28207,24
1,28239,140
1,28385,23
1,31021,33
1,31249,46
1,31295,26
1,31321,153
1,31480,17
1,31530,10
1,31541,77
1,31663,4
1,32659,1
1,32678,31
1,32709,17
1,32726,4
1,32784,127
1,32928,16
1,32960,112
1,33088,80
1,33296,288
1,33600,48
1,33680,32
1,33840,32
1,33904,32
1,33968,64
1,34128,112
1,34256,80
1,34384,31
1,34469,15
1,34484,12
1,34503,11
1,34515,13
1,34529,15
1,34546,13
1,34559,18
1,34581,55
1,34672,64
1,34833,14
1,34864,15
1,35056,286
1,35346,31
1,35377,46
1,35423,17
1,35442,190
1,35857,2
1,35865,20
1,35904,65
1,35976,1
1,35992,1
1,36210,14
1,36256,16
1,36449,31
1,36545,79
1,36688,32
1,36868,19
1,36896,7
1,36912,7
1,36928,7
1,36944,7
1,36961,6
1,36976,7
1,36992,7
1,37008,7
1,37024,7
1,37040,7
1,37056,6
1,37072,6
1,37088,7
1,37104,6
1,37120,6
1,37136,7
1,37152,7
1,37168,7
1,37184,7
1,37200,7
1,37216,7
1,37232,7
1,37248,7
1,37264,7
1,37280,7
1,37296,7
1,37312,7
1,37328,6
1,37344,7
1,37360,7
1,37376,7
1,37392,7
1,37408,7
1,37425,6
1,37440,7
1,37523,1
1,37573,2
1,37648,15
1,37669,10
1,37685,35
1,37728,127
1,38098,14
1,38130,29
1,38178,94
1,38417,33
1,38457,1
1,38465,45
1,38528,64
1,38848,64
1,38928,32
1,39028,125
1,39160,1
1,39168,1
1,39176,1
1,39184,80
1,39440,32
1,39524,60
1,39616,64
1,39760,64
1,39920,32
1,39988,60
1,40117,74
1,40208,128
1,40336,133
1,40469,43
1,40512,16
1,40530,46
1,40576,16
1,40657,281
1,40938,32
2,1893,1
2,1901,5
2,1942,5
2,3475,18
2,3515,88
2,29402,4
2,32784,3
2,32794,18
2,32828,2
2,32844,63
2,32914,4
2,32924,18
2,32957,3
2,32974,2
2,32984,6
2,33000,43
2,33050,19
2,33084,4
2,33101,17
2,33125,41
2,33176,20
2,33208,6
2,33227,3
2,33298,3
2,33308,18
2,33341,2
2,33357,6
2,33370,50
2,33437,3
2,33464,4
2,33476,39
2,33531,3
2,33540,9
2,33593,2
2,33602,1
2,33609,2
2,33619,11
2,33636,2
2,33644,6
2,33656,10
2,33672,2
2,33681,29
2,33720,8
2,33736,10
2,33752,3
2,33768,10
2,33784,23
2,33825,1
2,33833,2
2,33844,42
2,33907,11
2,33928,1
2,33940,2
2,33948,48
2,34006,10
2,34028,17
2,34052,10
2,34106,3
2,34115,11
2,34132,55
2,34224,13
2,34256,61
2,34386,12
2,34404,11
2,34421,27
2,34462,2
2,34576,28
2,34611,2
2,34619,2
2,34627,2
2,34635,2
2,34672,36
2,34708,12
2,34720,16
2,34736,32
2,34817,15
2,34921,8
2,34936,9
2,35059,12
2,35081,7
2,35156,12
2,35182,34
2,35248,32
2,35364,2
2,35372,20
2,35408,10
2,35445,2
2,35453,19
2,35488,48
2,35568,32
2,35841,44
2,35904,32
2,35944,1
2,35952,16
2,35984,9
2,36001,10
2,36056,1
2,36064,45
2,36168,1
2,36208,16
2,36240,16
2,36275,29
2,36440,1
2,36728,8
2,36744,8
2,36808,8
2,36840,23
2,37482,14
2,37744,32
2,37792,11
2,37809,28
2,37920,13
2,37985,7
2,38000,8
2,38016,8
2,38033,7
2,38064,7
2,38218,6
2,38234,6
2,38253,1
2,38264,6
2,38368,30
2,38416,34
2,38456,24
2,38504,6
2,38536,54
2,38599,1
2,38607,65
2,39264,7
2,39280,4
2,39296,4
2,39312,4
2,39616,8
2,39632,4
2,39652,4
2,39664,8
2,39723,1
2,39760,1
2,39767,10
2,39777,47
2,40608,48
2,40902,29
3,5,2
